wavelength_nm,quantum_effiency_percent
342.6667964,41.62844861
343.0840559,42.02140988
343.7099451,42.33346736
344.3358343,42.85356317
344.3358343,42.57617874
345.1703532,43.15406296
345.5876127,43.54702424
346.2135019,43.85908172
346.839391,44.37917752
346.839391,44.10179309
347.67391,44.67967732
348.0911694,45.07263859
348.9256884,45.37313839
349.3429478,46.04348409
349.3429478,45.76609966
349.968837,46.39021462
350.5947262,47.01432959
350.5947262,46.80629127
351.4292452,47.43040623
351.8465046,47.84648287
352.4723938,48.1238673
353.098283,48.40125173
353.7241722,48.71330921
354.3500614,49.23340501
354.3500614,48.95602058
354.9759506,49.58013555
356.227729,50.20425051
356.227729,49.96153913
356.8536182,50.48163494
357.4795074,51.03640379
357.4795074,50.79369242
358.1053966,51.31378822
358.7312858,51.86855708
358.7312858,51.6258457
359.357175,52.42332593
359.357175,52.1459415
359.9830642,52.70071036
360.6089534,53.53286364
360.6089534,53.25547922
360.6089534,52.97809479
361.2348426,53.81024807
361.6766467,54.64414958
361.8607318,54.0876325
363.1125102,56.44540014
363.1125102,56.16801571
363.1125102,55.89063128
363.1125102,55.61324685
364.3642886,58.10970671
364.3642886,57.83232228
364.3642886,57.55493785
364.3642886,57.27755342
364.3642886,57.0695151
364.9901777,58.66447556
364.9901777,58.38709113
365.6160669,59.21924442
365.6160669,58.94185999
366.2419561,60.19008992
366.2419561,59.91270549
366.2419561,59.70466717
366.8678453,61.0222432
366.8678453,60.74485877
366.8678453,60.46747434
367.4937345,61.57701206
367.4937345,61.29962763
368.1196237,62.68654977
368.1196237,62.40916534
368.1196237,62.13178091
368.1196237,61.85439648
368.9541427,62.9639342
369.3714021,63.93477969
369.3714021,63.65739527
369.3714021,63.38001084
370.2059211,64.23527949
370.6231805,65.18300962
370.6231805,64.90562519
370.6231805,64.62824077
371.2490697,65.73777848
371.2490697,65.4950671
371.8749589,66.84731619
371.8749589,66.56993176
371.8749589,66.29254733
371.8749589,66.01516291
372.5008481,67.09002756
372.7094778,67.40208505
373.1267373,68.37293054
373.1267373,68.09554612
373.1267373,67.81816169
373.7526265,68.61564192
373.9612562,68.9276994
374.3785157,69.8985449
374.3785157,69.62116047
374.3785157,69.34377604
375.0044049,70.14125627
375.2130346,70.45331375
375.6302941,72.25631254
375.6302941,71.97892811
375.6302941,71.70154368
375.6302941,71.42415925
375.6302941,71.14677482
375.6302941,70.8693904
376.8820725,74.05931132
376.8820725,73.78192689
376.8820725,73.50454246
376.8820725,73.22715803
376.8820725,72.94977361
376.8820725,72.67238918
377.7165914,74.35981111
378.1338509,75.30754124
378.1338509,75.03015682
378.1338509,74.75277239
378.7597401,76.13969453
378.7597401,75.8623101
378.7597401,75.61959872
379.3856293,76.97184781
379.3856293,76.69446338
379.3856293,76.41707896
380.0115185,77.24923224
380.6374077,77.8040011
380.6374077,77.52661667
381.2632969,78.35876995
381.2632969,78.11605858
381.8891861,78.91353881
381.8891861,78.63615438
382.5150753,79.46830766
382.5150753,79.22559629
383.1409644,79.74569209
383.7668536,80.30046095
383.7668536,80.05774957
384.3927428,80.8552298
384.3927428,80.57784538
385.018632,81.13261423
385.6445212,81.68738309
