wavelength_nm,reflectivity_percent
382.7606838,77.6182266
382.7606838,77.54495074
382.7606838,77.47167488
382.7606838,77.39839901
382.7606838,77.32512315
382.7606838,77.25184729
382.7606838,77.17857143
382.7606838,77.10529557
382.7606838,77.0320197
382.7606838,76.95874384
382.7606838,76.88546798
382.7606838,76.81219212
382.7606838,76.73891626
382.7606838,76.66564039
382.7606838,76.59236453
382.7606838,76.51908867
382.7606838,76.44581281
382.7606838,76.37253695
382.7606838,76.29926108
382.7606838,76.22598522
382.7606838,76.15270936
382.7606838,76.0794335
382.7606838,76.00615764
382.7606838,75.93288177
382.7606838,75.85960591
382.7606838,75.78633005
382.7606838,75.71305419
382.7606838,75.63977833
383.7777778,85.44042488
383.7777778,85.36714901
383.7777778,85.29387315
383.7777778,85.22059729
383.7777778,85.14732143
383.7777778,85.07404557
383.7777778,85.0007697
383.7777778,84.92749384
383.7777778,84.85421798
383.7777778,84.78094212
383.7777778,84.70766626
383.7777778,84.63439039
383.7777778,84.56111453
383.7777778,84.48783867
383.7777778,84.41456281
383.7777778,84.34128695
383.7777778,84.26801108
383.7777778,84.19473522
383.7777778,84.12145936
383.7777778,84.0481835
383.7777778,83.97490764
383.7777778,83.90163177
383.7777778,83.82835591
383.7777778,83.75508005
383.7777778,83.68180419
383.7777778,83.60852833
383.7777778,83.53525246
383.7777778,83.4619766
383.7777778,83.38870074
383.7777778,83.31542488
383.7777778,83.24214901
383.7777778,83.16887315
383.7777778,83.09559729
383.7777778,83.02232143
383.7777778,82.94904557
383.7777778,82.8757697
383.7777778,82.80249384
383.7777778,82.72921798
383.7777778,82.65594212
383.7777778,82.58266626
383.7777778,82.50939039
383.7777778,82.43611453
383.7777778,82.36283867
383.7777778,82.28956281
383.7777778,82.21628695
383.7777778,78.69904557
383.7777778,78.6257697
383.7777778,78.55249384
383.7777778,78.47921798
383.7777778,78.40594212
383.7777778,78.33266626
383.7777778,78.25939039
383.7777778,78.18611453
383.7777778,78.11283867
384.1168091,85.5320197
384.1168091,78.79064039
384.7948718,81.3919335
384.7948718,81.31865764
384.7948718,81.24538177
384.7948718,81.17210591
384.7948718,81.09883005
384.7948718,81.02555419
384.7948718,80.95227833
384.7948718,80.87900246
384.7948718,80.8057266
384.7948718,80.73245074
384.7948718,80.65917488
384.7948718,80.58589901
384.7948718,80.51262315
384.7948718,80.43934729
384.7948718,80.36607143
384.7948718,80.29279557
384.7948718,80.2195197
384.7948718,80.14624384
384.7948718,80.07296798
384.7948718,79.99969212
384.7948718,79.92641626
384.7948718,79.85314039
384.7948718,79.77986453
384.7948718,79.70658867
384.7948718,79.63331281
384.7948718,79.56003695
384.7948718,79.48676108
384.7948718,79.41348522
384.7948718,79.34020936
384.7948718,79.2669335
384.7948718,79.19365764
384.7948718,79.12038177
384.7948718,79.04710591
384.7948718,78.97383005
384.7948718,78.90055419
385.8119658,88.26154557
385.8119658,88.1882697
385.8119658,88.11499384
385.8119658,88.04171798
385.8119658,87.96844212
385.8119658,87.89516626
385.8119658,87.82189039
385.8119658,87.74861453
385.8119658,87.67533867
385.8119658,87.60206281
385.8119658,87.52878695
385.8119658,87.45551108
385.8119658,87.38223522
385.8119658,87.30895936
385.8119658,87.2356835
385.8119658,87.16240764
385.8119658,87.08913177
385.8119658,87.01585591
385.8119658,86.94258005
385.8119658,86.86930419
385.8119658,86.79602833
385.8119658,86.72275246
385.8119658,86.6494766
385.8119658,86.57620074
385.8119658,86.50292488
385.8119658,86.42964901
385.8119658,86.35637315
385.8119658,86.28309729
385.8119658,86.20982143
385.8119658,86.13654557
385.8119658,86.0632697
385.8119658,85.98999384
385.8119658,85.91671798
385.8119658,85.84344212
385.8119658,85.77016626
385.8119658,85.69689039
385.8119658,85.62361453
385.8119658,82.03309729
385.8119658,81.95982143
385.8119658,81.88654557
385.8119658,81.8132697
385.8119658,81.73999384
385.8119658,81.66671798
385.8119658,81.59344212
385.8119658,81.52016626
385.8119658,81.44689039
386.1509972,88.35314039
386.1509972,82.12469212
386.8290598,84.72598522
386.8290598,84.65270936
386.8290598,84.5794335
386.8290598,84.50615764
386.8290598,84.43288177
386.8290598,84.35960591
386.8290598,84.28633005
386.8290598,84.21305419
386.8290598,84.13977833
386.8290598,84.06650246
386.8290598,83.9932266
386.8290598,83.91995074
386.8290598,83.84667488
386.8290598,83.77339901
386.8290598,83.70012315
386.8290598,83.62684729
386.8290598,83.55357143
386.8290598,83.48029557
386.8290598,83.4070197
386.8290598,83.33374384
386.8290598,83.26046798
386.8290598,83.18719212
386.8290598,83.11391626
386.8290598,83.04064039
386.8290598,82.96736453
386.8290598,82.89408867
386.8290598,82.82081281
386.8290598,82.74753695
386.8290598,82.67426108
386.8290598,82.60098522
386.8290598,82.52770936
386.8290598,82.4544335
386.8290598,82.38115764
386.8290598,82.30788177
386.8290598,82.23460591
387.8461538,90.20335591
387.8461538,90.13008005
387.8461538,90.05680419
387.8461538,89.98352833
387.8461538,89.91025246
387.8461538,89.8369766
387.8461538,89.76370074
387.8461538,89.69042488
387.8461538,89.61714901
387.8461538,89.54387315
387.8461538,89.47059729
387.8461538,89.39732143
387.8461538,89.32404557
387.8461538,89.2507697
387.8461538,89.17749384
387.8461538,89.10421798
387.8461538,89.03094212
387.8461538,88.95766626
387.8461538,88.88439039
387.8461538,88.81111453
387.8461538,88.73783867
387.8461538,88.66456281
387.8461538,88.59128695
387.8461538,88.51801108
387.8461538,88.44473522
387.8461538,85.44042488
387.8461538,85.36714901
387.8461538,85.29387315
387.8461538,85.22059729
387.8461538,85.14732143
387.8461538,85.07404557
387.8461538,85.0007697
387.8461538,84.92749384
387.8461538,84.85421798
387.8461538,84.7901016
388.1851852,90.29495074
388.1851852,85.5320197
388.8632479,87.7669335
388.8632479,87.69365764
388.8632479,87.62038177
388.8632479,87.54710591
388.8632479,87.47383005
388.8632479,87.40055419
388.8632479,87.32727833
388.8632479,87.25400246
388.8632479,87.1807266
388.8632479,87.10745074
388.8632479,87.03417488
388.8632479,86.96089901
388.8632479,86.88762315
388.8632479,86.81434729
388.8632479,86.74107143
388.8632479,86.66779557
388.8632479,86.5945197
388.8632479,86.52124384
388.8632479,86.44796798
388.8632479,86.37469212
388.8632479,86.30141626
388.8632479,86.22814039
388.8632479,86.15486453
388.8632479,86.08158867
388.8632479,86.00831281
388.8632479,85.93503695
388.8632479,85.86176108
388.8632479,85.78848522
388.8632479,85.71520936
388.8632479,85.6419335
389.8803419,90.8445197
389.8803419,90.77124384
389.8803419,90.69796798
389.8803419,90.62469212
389.8803419,90.55141626
389.8803419,90.47814039
389.8803419,90.40486453
389.8803419,88.35314039
389.8803419,88.27986453
389.8803419,88.20658867
389.8803419,88.13331281
389.8803419,88.06003695
389.8803419,87.98676108
389.8803419,87.91348522
389.8803419,87.84936884
390.8974359,89.8919335
390.8974359,89.81865764
390.8974359,89.74538177
390.8974359,89.67210591
390.8974359,89.59883005
390.8974359,89.52555419
390.8974359,89.45227833
390.8974359,89.37900246
390.8974359,89.3057266
390.8974359,89.23245074
390.8974359,89.15917488
390.8974359,89.08589901
390.8974359,89.01262315
390.8974359,88.93934729
390.8974359,88.86607143
390.8974359,88.79279557
390.8974359,88.7195197
390.8974359,88.64624384
390.8974359,88.57296798
390.8974359,88.49969212
390.8974359,88.42641626
391.9145299,91.06434729
391.9145299,90.99107143
